Date,Open,High,Low,Close,Volume
2026-08-26,708.4099731445312,713.02001953125,707.969970703125,711.3699951171875,20392400
2026-08-27,716.9299926757812,721.3499755859375,714.530029296875,721.1099853515625,28723500
2026-08-28,719.739990234375,724.1300048828125,715.0900268554688,716.4299926757812,34105400
2026-08-31,715.1699829101562,717.5800170898438,713.1599731445312,716.760009765625,32237200
2026-09-01,707.3900146484375,712.2999877929688,704.6599731445312,707.6400146484375,35236100
2026-09-02,707.0999755859375,709.7999877929688,705.0999755859375,709.239990234375,23476200
2026-09-03,710.8499755859375,718.9199829101562,709.6900024414062,717.6699829101562,29449800
2026-09-04,719.3499755859375,721.8599853515625,716.5599975585938,718.9600219726562,32871100
2026-09-08,720.9099731445312,721.8900146484375,715.5700073242188,718.3599853515625,28341400
2026-09-09,716.4000244140625,719.7000122070312,714.02001953125,716.3099975585938,26763400
2026-09-10,707.5499877929688,712.0599975585938,706.8599853515625,708.6900024414062,31414400
2026-09-11,715.6799926757812,717.6300048828125,713.6300048828125,714.8800048828125,26649100
2026-09-14,703.3300170898438,712.9500122070312,702.739990234375,709.1799926757812,35219000
2026-09-15,708.7999877929688,709.530029296875,703.6400146484375,704.5399780273438,26631700
2026-09-16,708.0,711.8800048828125,700.0,704.719970703125,35688000
2026-09-17,715.9500122070312,718.0399780273438,713.3200073242188,716.9199829101562,37270300
2026-09-18,718.8300170898438,721.72998046875,715.0800170898438,721.4500122070312,48277100
2026-09-21,727.9500122070312,743.219970703125,727.8200073242188,741.469970703125,46233453
